	accuracy	block	cue_onset	eight_IKI	five_IKI	four_IKI	max_time	move_offset	move_onset	movement_time	one_IKI	one_RT	pressed	seq_keys	seq_start	sequence	seven_IKI	six_IKI	subject	three_IKI	too_slow	two_IKI
126	1	4	155353	163.0	238.0	198.0	3000	160488	159083	1405	400.0	400	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	158683	A	243.0	222.0	119	192.0	0	149.0
127	1	4	162120	112.0	230.0	385.0	3000	167236	165693	1543	442.0	442	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	165251	A	295.0	207.0	119	178.0	0	136.0
128	1	4	168766	87.0	199.0	265.0	3000	173852	172520	1332	423.0	423	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	172097	A	257.0	205.0	119	169.0	0	150.0
129	1	4	175381	82.0	370.0	178.0	3000	180207	178835	1372	423.0	423	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	178412	A	224.0	183.0	119	188.0	0	147.0
130	1	4	181738	198.0	298.0	207.0	3000	188353	186323	2030	354.0	354	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	185969	B	354.0	252.0	119	391.0	0	330.0
131	1	4	189882	294.0	346.0	188.0	3000	195635	194019	1616	406.0	406	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	193613	A	233.0	212.0	119	194.0	0	149.0
132	0	4	197366			370.0	3000	203710	201699	1506	703.0	703	[4, 2, 3, 1, 2]	[4, 2, 3, 1, 3, 1, 2, 4]	200996	random			119	324.0	0	452.0
133	1	4	204909	51.0	181.0	206.0	3000	209611	208390	1221	350.0	350	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	208040	A	283.0	159.0	119	199.0	0	142.0
134	1	4	211246	528.0	165.0	173.0	3000	216247	214650	1597	373.0	373	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	214277	A	219.0	195.0	119	180.0	0	137.0
135	1	4	217875	105.0	221.0	455.0	3000	222873	221326	1547	420.0	420	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	220906	A	264.0	184.0	119	193.0	0	125.0
136	1	4	224403	463.0	214.0	330.0	3000	230000	227844	2156	410.0	410	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	227434	A	291.0	209.0	119	448.0	0	201.0
137	0	4	231533				3000	236494	235296	692	432.0	432	[4, 3, 1, 3]	[4, 3, 1, 4, 2, 3, 1, 2]	234864	A			119	231.0	0	140.0
138	1	4	237692	213.0	365.0	249.0	3000	243259	241457	1802	335.0	335	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	241122	B	276.0	262.0	119	218.0	0	219.0
139	1	4	244788	719.0	261.0	177.0	3000	250174	248223	1951	404.0	404	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	247819	A	225.0	184.0	119	230.0	0	155.0
140	0	5	1224		310.0	182.0	3000	6382	4636	1240	381.0	381	[4, 3, 1, 4, 2, 3, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	4255	A		186.0	119	187.0	0	120.0
141	0	5	7881		548.0	330.0	3000	14514	11474	2364	463.0	463	[1, 3, 2, 4, 1, 3]	[1, 3, 2, 4, 1, 3, 2, 4]	11011	random		645.0	119	288.0	1	553.0
