,Unnamed: 0.1,accuracy,block,eight_IKI,five_IKI,four_IKI,max_time,move_offset,move_onset,movement_time,one_IKI,one_RT,pressed,rew_onset,reward,seq_keys,seq_start,sequence,seven_IKI,six_IKI,subject,three_IKI,too_slow,two_IKI
96,96,0,4,,450.0,200.0,1786,69365,67423,1343,347.0,347,"[3, 2, 4, 1, 2, 4]",62944,10,"[3, 2, 4, 1, 2, 4, 3, 1]",67076,B,,155.0,105,255.0,1,283.0
97,97,1,4,104.0,217.0,177.0,1526,77035,75912,1123,305.0,305,"[4, 3, 1, 4, 2, 3, 1, 2]",72076,5,"[4, 3, 1, 4, 2, 3, 1, 2]",75607,A,179.0,152.0,105,138.0,0,156.0
98,98,1,4,103.0,223.0,166.0,1526,85903,84825,1078,246.0,246,"[4, 3, 1, 4, 2, 3, 1, 2]",80747,30,"[4, 3, 1, 4, 2, 3, 1, 2]",84579,A,192.0,112.0,105,123.0,0,159.0
99,99,1,4,125.0,376.0,187.0,1786,95278,93889,1389,246.0,246,"[3, 2, 4, 1, 2, 4, 3, 1]",89912,10,"[3, 2, 4, 1, 2, 4, 3, 1]",93643,B,164.0,176.0,105,202.0,0,159.0
100,100,0,4,,99.0,175.0,1786,104819,103311,1003,253.0,253,"[3, 2, 4, 1, 2, 4, 2]",99527,10,"[3, 2, 4, 1, 2, 4, 3, 1]",103058,B,,204.0,105,209.0,0,132.0
101,101,0,4,,344.0,222.0,1526,114390,112594,1204,234.0,234,"[4, 3, 1, 4, 2, 3, 1]",108328,10,"[4, 3, 1, 4, 2, 3, 1, 2]",112360,A,194.0,186.0,105,98.0,1,160.0
102,102,0,4,,,,1786,122050,121544,0,,348,[2],117465,5,"[3, 2, 4, 1, 2, 4, 3, 1]",121196,B,,,105,,0,
103,103,1,4,83.0,225.0,199.0,1526,130192,129054,1138,258.0,258,"[4, 3, 1, 4, 2, 3, 1, 2]",124966,30,"[4, 3, 1, 4, 2, 3, 1, 2]",128796,A,197.0,144.0,105,125.0,0,165.0
104,104,1,4,99.0,152.0,206.0,1786,140640,139385,1255,253.0,253,"[3, 2, 4, 1, 2, 4, 3, 1]",134801,30,"[3, 2, 4, 1, 2, 4, 3, 1]",139132,B,138.0,232.0,105,227.0,0,201.0
105,105,0,4,,,,1786,149248,148347,394,327.0,327,"[3, 2, 1]",144489,10,"[3, 2, 4, 1, 2, 4, 3, 1]",148020,B,,,105,,0,186.0
106,106,1,4,121.0,286.0,238.0,1786,159632,158153,1479,262.0,262,"[3, 2, 4, 1, 2, 4, 3, 1]",152560,30,"[3, 2, 4, 1, 2, 4, 3, 1]",157891,B,140.0,263.0,105,217.0,0,214.0
107,107,0,4,,160.0,186.0,1526,169056,167317,1039,290.0,290,"[4, 3, 1, 4, 2, 3, 1]",162996,30,"[4, 3, 1, 4, 2, 3, 1, 2]",167027,A,173.0,186.0,105,168.0,1,166.0
108,108,0,4,,142.0,171.0,1526,177583,175875,1111,321.0,321,"[4, 3, 1, 4, 2, 3, 1]",172023,5,"[4, 3, 1, 4, 2, 3, 1, 2]",175554,A,186.0,144.0,105,250.0,1,218.0
109,109,0,4,,200.0,196.0,1526,187619,185830,990,240.0,240,"[4, 3, 1, 4, 2, 3, 1]",180658,5,"[4, 3, 1, 4, 2, 3, 1, 2]",185590,A,158.0,135.0,105,137.0,1,164.0
110,110,0,4,,,,1526,195378,194435,436,311.0,311,"[4, 3, 1, 2]",190593,30,"[4, 3, 1, 4, 2, 3, 1, 2]",194124,A,,,105,114.0,0,150.0
111,111,0,4,,175.0,209.0,1526,204014,202391,1002,406.0,406,"[4, 3, 1, 4, 2, 3, 1]",198453,10,"[4, 3, 1, 4, 2, 3, 1, 2]",201985,A,171.0,163.0,105,143.0,1,141.0
112,112,0,4,,113.0,185.0,1786,213412,211902,1005,280.0,280,"[3, 2, 4, 1, 2, 4, 2]",207791,30,"[3, 2, 4, 1, 2, 4, 3, 1]",211622,B,,192.0,105,197.0,0,149.0
113,113,0,4,,176.0,198.0,1526,222587,220819,989,261.0,261,"[4, 3, 1, 4, 2, 3, 1]",216926,5,"[4, 3, 1, 4, 2, 3, 1, 2]",220558,A,141.0,177.0,105,156.0,1,141.0
114,114,0,4,,144.0,191.0,1526,232021,230289,1001,297.0,297,"[4, 3, 1, 4, 2, 3, 1]",226160,10,"[4, 3, 1, 4, 2, 3, 1, 2]",229992,A,173.0,190.0,105,129.0,1,174.0
115,115,1,4,120.0,228.0,189.0,1786,240754,239511,1243,281.0,281,"[3, 2, 4, 1, 2, 4, 3, 1]",235499,30,"[3, 2, 4, 1, 2, 4, 3, 1]",239230,B,150.0,217.0,105,208.0,0,131.0
116,116,0,4,,103.0,176.0,1786,250049,248681,861,245.0,245,"[3, 2, 4, 1, 2, 3]",244006,5,"[3, 2, 4, 1, 2, 4, 3, 1]",248436,B,,,105,214.0,0,156.0
117,117,1,4,127.0,158.0,154.0,1786,258833,257596,1237,306.0,306,"[3, 2, 4, 1, 2, 4, 3, 1]",253659,5,"[3, 2, 4, 1, 2, 4, 3, 1]",257290,B,155.0,243.0,105,214.0,0,186.0
118,118,1,4,106.0,355.0,206.0,1786,268865,267466,1399,247.0,247,"[3, 2, 4, 1, 2, 4, 3, 1]",262687,10,"[3, 2, 4, 1, 2, 4, 3, 1]",267219,B,126.0,193.0,105,242.0,0,171.0
