	accuracy	block	eight_IKI	five_IKI	four_IKI	max_time	move_offset	move_onset	movement_time	one_IKI	one_RT	pressed	rew_onset	reward	seq_keys	seq_start	sequence	seven_IKI	six_IKI	subject	three_IKI	too_slow	two_IKI
127	0	5			234.0	1400	75213	73656	612	349	349	[3, 2, 4, 1]	69776	30	[3, 2, 4, 1, 2, 4, 3, 1]	73307	A			110	142.0	1	236.0
128	0	5			633.0	1662	84714	82887	992	341	341	[2, 1, 4, 2]	79014	5	[2, 1, 4, 2, 3, 4, 1, 3]	82546	B			110	165.0	1	194.0
129	0	5		156.0	163.0	1400	94282	92740	965	361	361	[3, 2, 4, 1, 2, 4, 3]	88048	30	[3, 2, 4, 1, 2, 4, 3, 1]	92379	A	172.0	147.0	110	173.0	1	154.0
130	1	5	158.0	263.0	180.0	1662	103182	101941	1241	331	331	[2, 1, 4, 2, 3, 4, 1, 3]	97478	5	[2, 1, 4, 2, 3, 4, 1, 3]	101610	B	176.0	100.0	110	216.0	0	148.0
131	1	5	132.0	138.0	154.0	1400	112200	111232	968	341	341	[3, 2, 4, 1, 2, 4, 3, 1]	106560	5	[3, 2, 4, 1, 2, 4, 3, 1]	110891	A	93.0	137.0	110	158.0	0	156.0
132	1	5	92.0	154.0	173.0	1400	124133	123161	972	387	387	[3, 2, 4, 1, 2, 4, 3, 1]	117044	10	[3, 2, 4, 1, 2, 4, 3, 1]	122774	A	128.0	132.0	110	174.0	0	119.0
133	1	5	175.0	175.0	213.0	1662	133531	132267	1264	366	366	[2, 1, 4, 2, 3, 4, 1, 3]	127970	10	[2, 1, 4, 2, 3, 4, 1, 3]	131901	B	160.0	119.0	110	210.0	0	212.0
134	1	5	152.0	180.0	175.0	1662	143352	142312	1040	373	373	[2, 1, 4, 2, 3, 4, 1, 3]	137607	5	[2, 1, 4, 2, 3, 4, 1, 3]	141939	B	139.0	100.0	110	160.0	0	134.0
135	0	5		292.0	159.0	1400	154059	152514	770	358	358	[3, 2, 4, 1, 2]	147424	5	[3, 2, 4, 1, 2, 4, 3, 1]	152156	A			110	184.0	1	135.0
136	0	5		246.0	173.0	1400	165598	164116	965	422	422	[3, 2, 4, 1, 2, 4]	158463	30	[3, 2, 4, 1, 2, 4, 3, 1]	163694	A		225.0	110	174.0	1	147.0
137	1	5	95.0	134.0	201.0	1400	174572	173562	1010	335	335	[3, 2, 4, 1, 2, 4, 3, 1]	169596	10	[3, 2, 4, 1, 2, 4, 3, 1]	173227	A	142.0	146.0	110	156.0	0	136.0
138	0	5			159.0	1400	183604	182389	710	347	347	[3, 2, 4, 1, 3]	178211	10	[3, 2, 4, 1, 2, 4, 3, 1]	182042	A			110	160.0	0	133.0
139	0	5		353.0	227.0	1662	193003	191222	1069	384	384	[2, 1, 4, 2, 3, 4]	187206	5	[2, 1, 4, 2, 3, 4, 1, 3]	190838	B		133.0	110	189.0	1	167.0
140	0	5		284.0	195.0	1662	202244	200400	1157	324	324	[2, 1, 4, 2, 3, 4, 1]	196445	5	[2, 1, 4, 2, 3, 4, 1, 3]	200076	B	185.0	136.0	110	188.0	1	169.0
141	0	5		261.0	210.0	1662	211178	209364	1176	351	351	[2, 1, 4, 2, 3, 4, 1]	205482	30	[2, 1, 4, 2, 3, 4, 1, 3]	209013	B	167.0	135.0	110	191.0	1	212.0
142	0	5		196.0	212.0	1662	220519	218846	1121	495	495	[2, 1, 4, 2, 3, 4, 1]	214520	30	[2, 1, 4, 2, 3, 4, 1, 3]	218351	B	143.0	134.0	110	193.0	1	243.0
143	1	5	113.0	107.0	166.0	1400	228590	227604	986	318	318	[3, 2, 4, 1, 2, 4, 3, 1]	223755	30	[3, 2, 4, 1, 2, 4, 3, 1]	227286	A	160.0	164.0	110	157.0	0	119.0
144	0	5		227.0	288.0	1662	238226	236415	1279	357	357	[2, 1, 4, 2, 3, 4]	232227	10	[2, 1, 4, 2, 3, 4, 1, 3]	236058	B		100.0	110	443.0	1	221.0
145	0	5		132.0	140.0	1400	247601	246034	957	336	336	[3, 2, 4, 1, 2, 4]	241167	30	[3, 2, 4, 1, 2, 4, 3, 1]	245698	A		348.0	110	190.0	1	147.0
146	0	5		130.0	189.0	1400	257441	255904	971	369	369	[3, 2, 4, 1, 2, 4, 3]	251404	10	[3, 2, 4, 1, 2, 4, 3, 1]	255535	A	161.0	167.0	110	171.0	1	153.0
147	0	5		355.0	504.0	1662	266530	264726	1215	361	361	[2, 1, 4, 2, 3]	260645	10	[2, 1, 4, 2, 3, 4, 1, 3]	264365	B			110	162.0	1	194.0
148	1	5	188.0	219.0	183.0	1662	274959	273747	1212	345	345	[2, 1, 4, 2, 3, 4, 1, 3]	269471	10	[2, 1, 4, 2, 3, 4, 1, 3]	273402	B	146.0	125.0	110	190.0	0	161.0
149	1	5	186.0	212.0	205.0	1662	284607	283388	1219	314	314	[2, 1, 4, 2, 3, 4, 1, 3]	278542	30	[2, 1, 4, 2, 3, 4, 1, 3]	283074	B	80.0	152.0	110	189.0	0	195.0
150	0	6		283.0	290.0	1662	10628	8905	1157	445	445	[2, 1, 4, 2, 3]	4630	10	[2, 1, 4, 2, 3, 4, 1, 3]	8460	B			110	448.0	1	136.0
151	0	6		174.0	205.0	1400	18905	17390	884	388	388	[3, 2, 4, 1, 2, 4]	13471	30	[3, 2, 4, 1, 2, 4, 3, 1]	17002	A		160.0	110	159.0	1	186.0
152	0	6		221.0	218.0	1662	29205	27478	1119	438	438	[2, 1, 4, 2, 3, 4, 1]	22208	5	[2, 1, 4, 2, 3, 4, 1, 3]	27040	B	142.0	111.0	110	228.0	1	199.0
153	1	6	188.0	178.0	192.0	1662	37428	36281	1147	505	505	[2, 1, 4, 2, 3, 4, 1, 3]	32244	30	[2, 1, 4, 2, 3, 4, 1, 3]	35776	B	86.0	123.0	110	184.0	0	196.0
154	1	6	114.0	132.0	184.0	1400	47213	46124	1089	287	287	[3, 2, 4, 1, 2, 4, 3, 1]	41005	10	[3, 2, 4, 1, 2, 4, 3, 1]	45837	A	193.0	155.0	110	166.0	0	145.0
155	1	6	86.0	141.0	159.0	1400	56806	55832	974	351	351	[3, 2, 4, 1, 2, 4, 3, 1]	50951	30	[3, 2, 4, 1, 2, 4, 3, 1]	55481	A	156.0	137.0	110	148.0	0	147.0
156	0	6		168.0	176.0	1400	66780	65233	1012	357	357	[3, 2, 4, 1, 2, 4, 3]	60444	5	[3, 2, 4, 1, 2, 4, 3, 1]	64876	A	165.0	169.0	110	162.0	1	172.0
157	1	6	183.0	289.0	200.0	1662	75745	74433	1312	320	320	[2, 1, 4, 2, 3, 4, 1, 3]	70182	30	[2, 1, 4, 2, 3, 4, 1, 3]	74113	B	177.0	96.0	110	173.0	0	194.0
158	0	6		207.0	196.0	1662	85727	84168	976	606	606	[2, 1, 4, 2, 3, 4, 1]	79230	10	[2, 1, 4, 2, 3, 4, 1, 3]	83562	B	137.0	112.0	110	172.0	1	152.0
159	1	6	82.0	146.0	178.0	1400	94490	93445	1045	347	347	[3, 2, 4, 1, 2, 4, 3, 1]	89067	30	[3, 2, 4, 1, 2, 4, 3, 1]	93098	A	161.0	163.0	110	163.0	0	152.0
160	0	6		223.0	223.0	1662	106020	104213	1128	358	358	[2, 1, 4, 2, 3, 4, 1]	100123	30	[2, 1, 4, 2, 3, 4, 1, 3]	103855	B	118.0	119.0	110	162.0	1	283.0
