	Unnamed: 0	accuracy	block	cue_onset	eight_IKI	five_IKI	four_IKI	max_time	move_offset	move_onset	movement_time	one_IKI	one_RT	pressed	seq_keys	seq_start	sequence	seven_IKI	six_IKI	subject	three_IKI	too_slow	two_IKI
93	93	1	4	172825	134.0	293.0	225.0	3000	178307	176569.0	1738.0	412.0	412.0	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	176157	A	275.0	226.0	111	342.0	0	243.0
94	94	1	4	179837	174.0	246.0	157.0	3000	184873	183229.0	1644.0	362.0	362.0	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	182867	A	259.0	236.0	111	324.0	0	248.0
95	95	1	4	186407	431.0	330.0	306.0	3000	193524	191093.0	2431.0	455.0	455.0	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	190638	B	383.0	391.0	111	356.0	0	234.0
96	96	0	4	195055			204.0	3000	200466	199094.0	867.0	308.0	308.0	[4, 3, 1, 4, 3]	[4, 3, 1, 4, 2, 3, 1, 2]	198786	A			111	219.0	0	196.0
97	97	0	4	201659		507.0	403.0	3000	208793	205838.0	2161.0	548.0	548.0	[2, 4, 3, 1, 3, 4]	[2, 4, 3, 1, 3, 4, 2, 1]	205290	random		431.0	111	341.0	1	479.0
98	98	1	4	209989	150.0	233.0	193.0	3000	214945	213467.0	1478.0	347.0	347.0	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	213120	A	257.0	241.0	111	198.0	0	206.0
99	99	0	4	216576		219.0	200.0	3000	222102	220081.0	1516.0	473.0	473.0	[4, 3, 1, 4, 2, 3, 1, 4]	[4, 3, 1, 4, 2, 3, 1, 2]	219608	A	274.0	208.0	111	237.0	0	174.0
100	100	1	4	223196	136.0	255.0	191.0	3000	228195	226653.0	1542.0	427.0	427.0	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	226226	A	244.0	260.0	111	245.0	0	211.0
101	101	1	4	229723	105.0	214.0	194.0	3000	234481	233083.0	1398.0	330.0	330.0	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	232753	A	258.0	213.0	111	228.0	0	186.0
102	102	1	4	236010	131.0	192.0	213.0	3000	241139	239663.0	1476.0	322.0	322.0	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	239341	A	277.0	248.0	111	207.0	0	208.0
103	103	0	4	242873		274.0	282.0	3000	249148	246605.0	2038.0	301.0	301.0	[3, 2, 4, 1, 2, 4, 3, 2]	[3, 2, 4, 1, 2, 4, 3, 1]	246304	B	290.0	443.0	111	244.0	0	191.0
104	104	1	4	250142	159.0	303.0	176.0	3000	255287	253633.0	1654.0	460.0	460.0	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	253173	A	274.0	241.0	111	270.0	0	231.0
105	105	1	5	1216	195.0	239.0	252.0	3000	6287	4616.0	1671.0	369.0	369.0	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	4247	A	210.0	279.0	111	263.0	0	233.0
106	106	0	5	8316		389.0	391.0	3000	14949	12013.0	2137.0	567.0	567.0	[1, 2, 3, 4, 1, 4]	[1, 2, 3, 4, 1, 4, 3, 2]	11446	random		472.0	111	377.0	1	508.0
107	107	0	5	15942			230.0	3000	21860	20444.0	912.0	364.0	364.0	[4, 3, 1, 4, 3]	[4, 3, 1, 4, 2, 3, 1, 2]	20080	A			111	235.0	0	210.0
108	108	1	5	22955	415.0	328.0	301.0	3000	29773	27470.0	2303.0	376.0	376.0	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	27094	B	345.0	368.0	111	295.0	0	251.0
109	109	1	5	31308	160.0	229.0	229.0	3000	36297	34808.0	1489.0	469.0	469.0	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	34339	A	233.0	228.0	111	224.0	0	186.0
110	110	1	5	38428	160.0	201.0	244.0	3000	43664	42148.0	1516.0	390.0	390.0	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	41758	A	235.0	241.0	111	225.0	0	210.0
111	111	1	5	45191	146.0	243.0	222.0	3000	50372	48845.0	1527.0	423.0	423.0	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	48422	A	302.0	190.0	111	270.0	0	154.0
112	112	1	5	52108	177.0	305.0	230.0	3000	57736	56012.0	1724.0	374.0	374.0	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	55638	A	270.0	258.0	111	263.0	0	221.0
113	113	1	5	59556	155.0	224.0	205.0	3000	65345	63915.0	1430.0	423.0	423.0	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	63492	A	245.0	198.0	111	208.0	0	195.0
114	114	1	5	67083	104.0	224.0	195.0	3000	71824	70457.0	1367.0	343.0	343.0	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	70114	A	228.0	192.0	111	224.0	0	200.0
115	115	1	5	73956	379.0	303.0	276.0	3000	79629	77484.0	2145.0	298.0	298.0	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	77186	B	349.0	377.0	111	235.0	0	226.0
116	116	0	5	81761			217.0	3000	87064	85674.0	885.0	382.0	382.0	[4, 3, 1, 4, 3]	[4, 3, 1, 4, 2, 3, 1, 2]	85291	A			111	236.0	0	189.0
